Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2022-12-29,2022-12-30,7100,DOORDASH DASHPASS,Dining,9.99,
2022-12-29,2022-12-29,7100,CAPITAL ONE MOBILE PYMT,Payment/Credit,,4551.43
2022-12-27,2022-12-29,7100,HOMEROOM,Dining,54.86,
2022-12-28,2022-12-29,7100,CHEVRON 0203186,Gas/Automotive,40.49,
2022-12-28,2022-12-29,7100,SUPER TACOS,Dining,35.00,
2022-12-27,2022-12-29,7100,STARBUCKS STORE 08676,Dining,4.25,
2022-12-27,2022-12-28,7100,OAKLAND PARK METER IPS,Other Services,2.25,
2022-12-28,2022-12-28,7100,APPLE.COM/BILL,Internet,0.99,
2022-12-28,2022-12-28,7100,APPLE.COM/BILL,Internet,14.99,
2022-12-26,2022-12-27,7100,CHEVRON 0203186,Gas/Automotive,13.68,
2022-12-23,2022-12-24,7100,"PARKWHIZ, INC.",Gas/Automotive,13.00,
2022-12-23,2022-12-24,7100,FINNEGANS PUB,Dining,25.00,
2022-12-22,2022-12-24,7100,PBS SACRAMENTO,Dining,90.00,
2022-12-22,2022-12-23,7100,TEN TEN ROOM,Dining,33.00,
2022-12-22,2022-12-23,7100,CHEVRON 0203186,Gas/Automotive,32.18,
2022-12-21,2022-12-22,7100,UTC  #31007,Dining,39.00,
2022-12-21,2022-12-22,7100,IZUMI SUSHI,Dining,270.00,
2022-12-21,2022-12-22,7100,CHEVRON 0096377,Gas/Automotive,23.03,
2022-12-20,2022-12-22,7100,IZAKAYA GINJI RESTAURA,Dining,425.00,
2022-12-20,2022-12-22,7100,STARBUCKS STORE 00618,Dining,3.25,
2022-12-20,2022-12-21,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-12-20,2022-12-21,7100,FASTRAK CSC,Gas/Automotive,25.00,
2022-12-20,2022-12-21,7100,BEYOND MENU  91424090,Dining,116.21,
2022-12-19,2022-12-21,7100,STARBUCKS STORE 24132,Dining,3.25,
2022-12-19,2022-12-21,7100,SOUTHWES  5262198766696,Airfare,162.96,
2022-12-19,2022-12-20,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-12-19,2022-12-20,7100,CHEVRON 0096377,Gas/Automotive,27.53,
2022-12-18,2022-12-20,7100,WENDYS #3959,Dining,17.44,
2022-12-18,2022-12-19,7100,CHEVRON 0203186,Gas/Automotive,32.68,
2022-12-16,2022-12-19,7100,SAFEWAY #0705,Merchandise,11.67,
2022-12-16,2022-12-17,7100,CritSuccess LLC,Merchandise,26.59,
2022-12-16,2022-12-17,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-12-16,2022-12-17,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-12-15,2022-12-17,7100,MOKUTANYA,Dining,613.77,
2022-12-16,2022-12-17,7100,CHEVRON 0096377,Gas/Automotive,33.53,
2022-12-15,2022-12-16,7100,SMCCD CSM BOOKSTORE,Merchandise,5.00,
2022-12-16,2022-12-16,7100,AAA INSURANCE,Insurance,289.42,
2022-12-14,2022-12-16,7100,WANG DAE BAK,Dining,140.00,
2022-12-15,2022-12-16,7100,CHEVRON 0376375,Gas/Automotive,15.02,
2022-12-14,2022-12-15,7100,SMCCD CSM BOOKSTORE,Merchandise,3.25,
2022-12-14,2022-12-15,7100,SMCCD CSM BOOKSTORE,Merchandise,11.88,
2022-12-14,2022-12-15,7100,SMCCD CSM BOOKSTORE,Merchandise,2.50,
2022-12-14,2022-12-15,7100,SMCCD CSM BOOKSTORE,Merchandise,2.50,
2022-12-14,2022-12-15,7100,HEALTHYGAMER.GG,Health Care,200.00,
2022-12-13,2022-12-14,7100,GYU KAKU RESTAURANT,Dining,200.00,
2022-12-12,2022-12-13,7100,NIJIYA MARKET #63,Merchandise,12.66,
