track_title,artist_name,track_id,duration_ms,energy,key,mode,time_signature,acousticness,danceability,instrumentalness,liveness,loudness,speechiness,valence,tempo,On_chart
Red Planet - Red Planet Radio,Joe,3FeufAV1f6fajILIQuAXMw,256080,0.968,7,0,4,0.0215,0.698,0.862,0.111,-11.012,0.0337,0.39,136.884,0
Red Planet - Red Planet Extended,Joe,2o7oYjZuo3S2QitY4R5dII,395442,0.97,2,1,4,0.00339,0.7240000000000001,0.8959999999999999,0.106,-8.415,0.0358,0.4320000000000001,136.868,0
Basejump,Robin Schulz,6nWoNNkfffbmHU9z3kGPao,391680,0.406,5,0,4,0.00433,0.8029999999999999,0.825,0.0948,-9.444,0.0608,0.0769,125.014,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 15, Canone alla quinta",Johann Sebastian Bach,5Zg1UOcmee5oiRw3gbXna0,347840,0.00267,7,0,5,0.91,0.15,0.0287,0.125,-24.701,0.0434,0.105,135.65200000000002,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 16, Ouverture",Johann Sebastian Bach,2ZWmWGoZS2OTGZSnMhck7Q,181733,0.226,7,1,4,0.768,0.29,1.59e-06,0.105,-14.99,0.0385,0.47,98.348,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 17",Johann Sebastian Bach,661TNSoZ1MXPxyQEREFsFe,147787,0.248,2,1,3,0.936,0.32,0.0585,0.181,-19.526,0.0499,0.768,86.745,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 18, Canone alla sexta",Johann Sebastian Bach,4JXj4Qk0RHNQQ15GkT08nF,106520,0.0526,7,1,4,0.746,0.0734,2.57e-05,0.14400000000000002,-19.889,0.0346,0.23,78.884,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 19",Johann Sebastian Bach,7i4YGUcM5u6V0H0qnchPdR,79067,0.112,7,1,3,0.8590000000000001,0.378,0.0,0.471,-18.817,0.0345,0.5489999999999999,76.51899999999998,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 20",Johann Sebastian Bach,2DNE9VF9q2j1P3RbJzR9QE,143133,0.205,7,1,4,0.971,0.297,0.7559999999999999,0.158,-19.04,0.0418,0.92,168.752,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 21, Canone alla settima",Johann Sebastian Bach,0ZcY9yY5lE0TMt2WZNVLSJ,234333,0.0197,7,0,4,0.947,0.16,0.211,0.107,-22.972,0.0384,0.154,68.39,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 22, Alla breve",Johann Sebastian Bach,44z0K0DXEaJq6c8Wu96nP1,92040,0.17600000000000002,4,0,5,0.752,0.256,0.00084,0.106,-16.049,0.0354,0.221,117.967,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 23",Johann Sebastian Bach,6nLwMf8FYHT4sL40oN4Ra1,157960,0.188,4,0,3,0.95,0.387,0.163,0.298,-19.531,0.0514,0.7,75.329,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 24, Canone all'ottava",Johann Sebastian Bach,1altR8tvoqW1qZFnkgoTAu,176013,0.116,7,1,5,0.816,0.124,0.000407,0.0987,-20.61,0.0389,0.55,179.713,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 25",Johann Sebastian Bach,1NANpUQbX7Ss02Yl8cb29d,570493,0.0118,3,1,4,0.933,0.0715,0.0478,0.113,-21.741,0.0439,0.0369,78.96300000000002,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 26",Johann Sebastian Bach,5L935CWixbXbMlASora7ku,143347,0.253,7,1,4,0.92,0.276,0.00395,0.306,-17.826,0.0361,0.589,61.457,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 28",Johann Sebastian Bach,4k5syktcS3Y9XMoZcIS7gW,159333,0.14,7,1,4,0.914,0.222,0.0,0.3670000000000001,-18.104,0.0487,0.5660000000000001,162.69,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 27, Canone alla nona",Johann Sebastian Bach,46kZC5RrTKRTRd9Sd4HvkW,152733,0.122,7,1,3,0.722,0.209,0.747,0.223,-24.741,0.038,0.5760000000000001,80.917,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 29",Johann Sebastian Bach,13H8nDh2leKhQ0vWL2X9p7,160680,0.328,7,1,3,0.908,0.452,0.908,0.0671,-14.742,0.0391,0.895,135.648,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 30, Quodlibet",Johann Sebastian Bach,4EW3qCWFvZnokLwhMB7WHT,144333,0.0235,7,1,4,0.921,0.208,3.2500000000000004e-05,0.311,-16.365,0.0384,0.226,131.707,0
"Goldberg Variations, BWV 988 (Arr. for Accordion): Aria da capo",Johann Sebastian Bach,116Pq1u9LjOlB32Yvckicg,180453,0.00111,7,1,3,0.97,0.228,0.00103,0.188,-22.499,0.0421,0.183,83.055,0
"Partite diverse sopra Sei gegrüsset, Jesu gütig, BWV 768",Johann Sebastian Bach,1aRwfts0jXxgJmgAnjGhzy,1242187,0.0577,7,0,4,0.732,0.0612,0.266,0.101,-18.858,0.0436,0.0643,56.179,0
"Vater unser im Himmelreich, BWV 762",Johann Sebastian Bach,5OOmwFQK7KHk2BHQcUTc8x,158053,0.0327,2,0,4,0.212,0.271,0.0573,0.0769,-16.121,0.0397,0.077,106.111,0
"18 Chorales ""Leipziger"": No. 4, Schmücke dich, o liebe Seele, BWV 654",Johann Sebastian Bach,44YMkRaUnVJRBZ4w2pjhof,455507,0.0363,5,0,4,0.7070000000000001,0.155,0.275,0.107,-17.326,0.0427,0.13699999999999998,107.989,0
"Toccata & Fugue in D Minor, BWV 565",Johann Sebastian Bach,2iTG00uOqzRZhj4Pm1o18N,522840,0.35100000000000003,2,0,4,0.757,0.0776,0.6759999999999999,0.0877,-8.286,0.0328,0.12,79.828,0
"Das Orgelbüchlein: No. 1, Nun komm, der Heiden Heiland, BWV 599",Johann Sebastian Bach,60JiznvMig94PTO2kJ8VIO,84960,0.0034700000000000004,9,0,4,0.7659999999999999,0.239,0.878,0.0967,-19.274,0.0455,0.279,62.692,0
"Das Orgelbüchlein: No. 3, Herr Christ, der ein'ge Gottessohn, BWV 601",Johann Sebastian Bach,71TxPfl901EE7q4Kgcdm72,132680,0.0477,9,1,4,0.954,0.179,0.8009999999999999,0.0878,-17.832,0.0405,0.16399999999999998,76.14,0
"Das Orgelbüchlein: No. 4, Lob sei dem allmächtigen Gott, BWV 602",Johann Sebastian Bach,1GDJ238kWbx1slW3l24B1t,66400,0.29600000000000004,5,1,3,0.795,0.157,0.883,0.0729,-11.373,0.0374,0.0944,132.796,0
"Das Orgelbüchlein: No. 5, Puer natus in Bethlehem, BWV 603",Johann Sebastian Bach,5AMLAbzvemrCiewEjcfG6E,65720,0.243,7,0,4,0.78,0.185,0.951,0.165,-13.608,0.0364,0.0412,107.247,0
"Das Orgelbüchlein: No. 6, Gelobet seist du, Jesu Christ, BWV 604",Johann Sebastian Bach,4c5AqiI55MtSdVNe4FGGdC,78480,0.0274,7,1,4,0.916,0.204,0.775,0.124,-18.72,0.0401,0.366,74.74600000000002,0
"Das Orgelbüchlein: No. 7, Der Tag, der ist so freudenreich, BWV 605",Johann Sebastian Bach,4HInRocXKXrOYsSz7CwlAK,137880,0.0106,7,1,3,0.889,0.174,0.601,0.16399999999999998,-20.382,0.0408,0.327,67.71600000000001,0
"Das Orgelbüchlein: No. 8, Vom Himmel hoch, da komm ich her, BWV 606",Johann Sebastian Bach,1spw5MVsOByK7eO0JMrrAc,60053,0.174,2,1,3,0.6609999999999999,0.185,0.0688,0.0854,-11.407,0.0402,0.152,94.337,0
"Das Orgelbüchlein: No. 9, Vom Himmel kam der Engel Schar, BWV 607",Johann Sebastian Bach,2Q6a0EzL4RorxfoWF1jfed,82840,0.0324,7,0,4,0.846,0.204,0.902,0.428,-17.951,0.0485,0.435,70.42,0
"Das Orgelbüchlein: No. 10, In dulci jubilo, BWV 608",Johann Sebastian Bach,5HRV5cSA8wRcmyCp1FtcJA,95960,0.0405,9,1,4,0.895,0.183,0.708,0.225,-26.267,0.035,0.312,64.749,0
"Das Orgelbüchlein: No. 11, Lobt Gott, ihr Christen, allzugleich, BWV 609",Johann Sebastian Bach,6DJ8hDz9Glf2cnjrxNC9cE,51480,0.267,7,1,3,0.345,0.182,0.0477,0.195,-12.449000000000002,0.0497,0.194,71.042,0
"Das Orgelbüchlein: No. 12, Jesu, meine Freude, BWV 610",Johann Sebastian Bach,2yuYvEB2lekdMIn8oMVyRG,168907,0.0007019999999999999,0,0,4,0.868,0.154,0.958,0.142,-22.44,0.0472,0.37,108.548,0
"Das Orgelbüchlein: No. 13, Christum wir sollen loben schon, BWV 611",Johann Sebastian Bach,32km9Kkfs1fAbNqqQqcNNS,142960,0.238,2,0,4,0.212,0.201,0.6990000000000001,0.106,-10.884,0.0413,0.0762,109.613,0
"Das Orgelbüchlein: No. 14, Wir Christenleut', BWV 612",Johann Sebastian Bach,6PpxJ7Z7eo0PNVOSaGqT5Q,98307,0.0118,7,0,3,0.919,0.159,0.59,0.227,-17.66,0.0396,0.225,129.922,0
"Das Orgelbüchlein: No. 15, Helft mir Gotts Güte preisen, BWV 613",Johann Sebastian Bach,1RHhyjEAYrKofNibfbgrIm,77000,0.162,11,0,4,0.872,0.222,0.909,0.177,-12.890999999999998,0.0391,0.35100000000000003,113.589,0
"Das Orgelbüchlein: No. 16, Das alte Jahr vergangen ist, BWV 614",Johann Sebastian Bach,0DOQ3UOU70XesorTCiuFqF,122040,0.006670000000000001,2,0,3,0.782,0.184,0.951,0.112,-20.196,0.0396,0.153,72.332,0
"Das Orgelbüchlein: No. 18, Mit Fried und Freud ich fahr dahin, BWV 616",Johann Sebastian Bach,4DLOPEY93ZPlSpEY30Vaxz,144800,0.00997,2,0,4,0.894,0.218,0.79,0.112,-28.274,0.0449,0.13,70.764,0
"Das Orgelbüchlein: No. 19, Herr Gott, nun schleuss den Himmel auf, BWV 617",Johann Sebastian Bach,1kmCtFGT6s6pFVafeFslG1,150200,0.0129,9,0,3,0.95,0.172,0.983,0.071,-28.473000000000006,0.0487,0.192,123.487,0
"Das Orgelbüchlein: No. 20, O Lamm Gottes, unschuldig, BWV 618",Johann Sebastian Bach,5xtFfSNB8ji7LqfAjgCWWh,210613,0.006540000000000001,5,1,4,0.97,0.14800000000000002,0.905,0.039,-25.887,0.0449,0.166,66.541,0
"Das Orgelbüchlein: No. 21, Christe du Lamm Gottes, BWV 619",Johann Sebastian Bach,01s8ltoDihqgZz80yvc8pJ,67440,0.00104,2,0,4,0.454,0.185,0.906,0.114,-19.194000000000006,0.0417,0.0,64.072,0
"Das Orgelbüchlein: No. 22, Christus, der uns selig macht, BWV 620",Johann Sebastian Bach,1ul635ufhj9n6tlLtGcU0O,149520,0.00268,9,0,3,0.752,0.16,0.838,0.321,-28.283,0.0557,0.29100000000000004,129.411,0
"Das Orgelbüchlein: No. 23, Da Jesus an dem Kreuze stund, BWV 621",Johann Sebastian Bach,1h5ZSEhweqhdpSFcFZrqVY,100493,0.00399,2,0,4,0.949,0.215,0.951,0.243,-28.265,0.045,0.123,57.753,0
"Das Orgelbüchlein: No. 24, O Mensch, bewein dein Sünde gross, BWV 622",Johann Sebastian Bach,1utrWaInmlLDCGV6tcPjkQ,266907,0.006509999999999999,3,1,4,0.0631,0.0611,0.774,0.201,-23.685,0.0486,0.282,71.232,0
"Das Orgelbüchlein: No. 25, Wir danken dir, Herr Jesu Christ, BWV 623",Johann Sebastian Bach,3fLNXHqrVoAJEEbH5nHJov,66200,0.112,7,1,4,0.926,0.154,0.967,0.206,-17.746,0.038,0.239,106.899,0
